Abramo,9,10,09 ottobre
Achille,19,7,19 luglio
Ada,15,9,15 settembre
Adalgisa,20,4,20 aprile
Adalgiso,7,10,07 ottobre
Adam,16,5,16 maggio
Adamo,16,5,16 maggio
Addolorata,15,9,15 settembre
Adelaide,16,12,16 dicembre
Adelchi,7,10,07 ottobre
Adele,24,12,24 dicembre
Adelia,17,5,17 maggio
Adelina,24,12,24 dicembre
Adolfo,30,6,30 giugno
Adrian,5,3,05 marzo
Adriana,5,3,05 marzo
Adriano,5,3,05 marzo
Agata,5,2,05 febbraio
Agnese,21,1,21 gennaio
Agostina,13,11,13 novembre
Agostino,28,8,28 agosto
Aida,31,8,31 agosto
Alba,7,12,07 dicembre
Alberico,26,1,26 gennaio
Alberta,6,10,06 ottobre
Albertina,31,10,31 ottobre
Albertino,13,4,13 aprile
Alberto,15,11,15 novembre
Albina,16,12,16 dicembre
Albino,1,3,01 marzo
Alda,18,11,18 novembre
Aldina,18,11,18 novembre
Aldo,10,1,10 gennaio
Aldona,10,9,10 settembre
Alessandra,20,3,20 marzo
Alessandro,26,8,26 agosto
Alessia,9,1,09 gennaio
Alessio,17,7,17 luglio
Alex,26,8,26 agosto
Alfio,10,5,10 maggio
Alfonsa,28,7,28 luglio
Alfonsina,28,7,28 luglio
Alfonso,1,8,01 agosto
Alfredo,14,8,14 agosto
Alice,5,2,05 febbraio
Alida,26,4,26 aprile
Aligi,21,6,21 giugno
Alma,12,4,12 aprile
Alvaro,19,2,19 febbraio
Amalia,24,5,24 maggio
Amaranta,7,11,07 novembre
Ambra,26,8,26 agosto
Ambrogio,7,12,07 dicembre
Ambrosia,7,12,07 dicembre
Amedea,30,4,30 aprile
Amedeo,30,3,30 marzo
Amelia,5,1,05 gennaio
Amira,25,1,25 gennaio
Anastasia,15,4,15 aprile
Andrea,30,11,30 novembre
Andy,30,11,30 novembre
Anetha,14,3,14 marzo
Angela,27,1,27 gennaio
Angelica,6,12,06 dicembre
Angelina,27,1,27 gennaio
Angelita,27,1,27 gennaio
Angelo,2,10,02 ottobre
Aniello,14,12,14 dicembre
Anita,26,7,26 luglio
Anna,26,7,26 luglio
Annibale,15,4,15 aprile
Annunziata,25,3,25 marzo
Anselmo,18,3,18 marzo
Anthony,13,6,13 giugno
Antimo,11,5,11 maggio
Antonella,13,6,13 giugno
Antonello,13,6,13 giugno
Antonia,13,6,13 giugno
Antonietta,13,6,13 giugno
Antonina,2,9,02 settembre
Antonino,2,9,02 settembre
Antonio,13,6,13 giugno
Arcangela,29,9,29 settembre
Arcangelo,29,9,29 settembre
Aria,17,5,17 maggio
Arianna,17,9,17 settembre
Ariel,1,10,01 ottobre
Ariele,1,10,01 ottobre
Ariella,1,10,01 ottobre
Armando,23,1,23 gennaio
Arnaldo,10,2,10 febbraio
Arrigo,15,11,15 novembre
Artemisia,18,2,18 febbraio
Arturo,8,8,08 agosto
Asia,27,7,27 luglio
Assunta,15,8,15 agosto
Attilio,28,6,28 giugno
Augusta,27,3,27 marzo
Augusto,7,5,07 maggio
Aurelia,25,9,25 settembre
Aurelio,20,7,20 luglio
Aurora,7,12,07 dicembre
Azzurra,2,5,02 maggio
Baldassarre,6,1,06 gennaio
Barbara,4,12,04 dicembre
Bartolo,24,8,24 agosto
Bartolomeo,24,8,24 agosto
Basilio,2,1,02 gennaio
Battista,24,6,24 giugno
Battistina,24,6,24 giugno
Beatrice,18,1,18 gennaio
Benedetto,21,3,21 marzo
Beniamino,31,3,31 marzo
Benny,31,3,31 marzo
Beppe,19,3,19 marzo
Berna,17,4,17 aprile
Bernadette,17,4,17 aprile
Bernardetta,17,4,17 aprile
Bernardin,20,5,20 maggio
Bernardo,20,8,20 agosto
Bertrando,6,8,06 agosto
Betta,23,9,23 settembre
Betty,23,9,23 settembre
Biagio,3,2,03 febbraio
Bianca,14,1,14 gennaio
Bice,18,1,18 gennaio
Brian,12,3,12 marzo
Brigida,1,2,01 febbraio
Brigitta,1,2,01 febbraio
Brigitte,1,2,01 febbraio
Brizio,11,7,11 luglio
Bruce,13,11,13 novembre
Brunella,6,10,06 ottobre
Bruno,6,10,06 ottobre
Camelia,3,3,03 marzo
Camilla,3,3,03 marzo
Camillo,14,7,14 luglio
Candelora,2,2,02 febbraio
Candida,10,9,10 settembre
Carla,4,11,04 novembre
Carlo,4,11,04 novembre
Carlos,4,11,04 novembre
Carlotta,4,11,04 novembre
Carmela,16,7,16 luglio
Carmelina,16,7,16 luglio
Carmelinda,16,7,16 luglio
Carmelo,16,7,16 luglio
Carmen,16,7,16 luglio
Carmine,16,7,16 luglio
Carola,9,5,09 maggio
Carolina,9,5,09 maggio
Cataldo,10,5,10 maggio
